type,name,res_id,src,value,fuzzy
error,purchase.purchase,0,"Analytic account is required on line ""%s"" (%d)!","Kostenstelle ist erforderlich in Zeile ""%s"" (%d)!",0
field,"purchase.line,analytic_accounts",0,Analytic Accounts,Kostenstellen,0
