type,name,res_id,src,value,fuzzy
error,purchase.purchase,0,"Analytic account is required on line ""%s"" (%d)!","Compte analytique requis sur la ligne ""%s"" (%d)!",0
field,"purchase.line,analytic_accounts",0,Analytic Accounts,Comptes analytiques,0
