type,name,res_id,src,value,fuzzy
field,"product.product.cost_history,cost_price",0,Cost Price,Kostenpreis,0
field,"product.product.cost_history,date",0,Date,Datum,0
field,"product.product.cost_history,rec_name",0,Name,Name,0
field,"product.product.cost_history,template",0,Product,Artikel,0
model,"ir.action,name",act_product_cost_history_form,Product Cost History,Kostenpreis Artikel Historie,0
model,"ir.action,name",wizard_product_cost_history_open,Cost History,Kostenpreis Historie,0
model,"product.product.cost_history,name",0,History of Product Cost,Historie Kostenpreis Artikel,0
view,product.product.cost_history,0,Product Cost History,Kostenpreis Artikel Historie,0
