type,name,res_id,src,value,fuzzy
model,"ir.ui.menu,name",menu_party_configuration,Party Configuration,Настройка контрагентов,0
model,"ir.ui.menu,name",menu_party_contact_form,Contact,Контактое лицо,0
model,"ir.ui.menu,name",menu_party_form,Parties,Контрагенты,0
model,"ir.ui.menu,name",menu_party_form2,New Party,Новый контрагент,0
model,"ir.ui.menu,name",menu_person_form,Persons,Физические лица,0
model,"party.address,name",0,Address,Адрес,0
model,"party.category,name",0,Category,Категории,0
model,"party.check_vies.check,name",0,Check VIES - Check,Проверить VIES - проверить,0
model,"party.check_vies.no_check,name",0,Check VIES - No Check,Проверить VIES - не проверять,0
model,"party.configuration,name",0,Party Configuration,Настройка контрагентов,0
model,"party.party,name",0,Party,Контрагент,0
model,"party.party-party.category,name",0,Party - Category,Контрагент - Категории,0
model,"res.group,name",group_party,Party (read),Организации (чтение),0
model,"res.group,name",group_party_admin,Party Administration,Администрирование контрагентов,0
model,"res.group,name",group_party_write,Party (write),Организации (запись) ,0
selection,"party.contact_mechanism,type",0,E-Mail,Эл.почта,0
selection,"party.contact_mechanism,type",0,Fax,Факс,0
selection,"party.contact_mechanism,type",0,Home Phone,Домашний телефон,0
selection,"party.contact_mechanism,type",0,IRC,,0
selection,"party.contact_mechanism,type",0,Jabber,,0
selection,"party.contact_mechanism,type",0,Mobile,сот.телефон,0
selection,"party.contact_mechanism,type",0,Other,Прочий,0
selection,"party.contact_mechanism,type",0,Phone,Телефон,0
selection,"party.contact_mechanism,type",0,SIP,,0
selection,"party.contact_mechanism,type",0,Skype,,0
selection,"party.contact_mechanism,type",0,Website,Сайт,0
selection,"party.contact_mechanism,type",0,Work Phone,Рабочий телефон,0
selection,"party.party,vat_country",0,,Резервный счет,0
selection,"party.party,vat_country",0,AL,,0
selection,"party.party,vat_country",0,AT,,0
selection,"party.party,vat_country",0,BE,,0
selection,"party.party,vat_country",0,BG,,0
selection,"party.party,vat_country",0,CL,,0
selection,"party.party,vat_country",0,CO,,0
selection,"party.party,vat_country",0,CY,,0
selection,"party.party,vat_country",0,CZ,,0
selection,"party.party,vat_country",0,DE,,0
selection,"party.party,vat_country",0,DK,,0
selection,"party.party,vat_country",0,EE,,0
selection,"party.party,vat_country",0,EL,,0
selection,"party.party,vat_country",0,ES,,0
selection,"party.party,vat_country",0,FI,,0
selection,"party.party,vat_country",0,FR,,0
selection,"party.party,vat_country",0,GB,,0
selection,"party.party,vat_country",0,GR,,0
selection,"party.party,vat_country",0,HU,,0
selection,"party.party,vat_country",0,IE,,0
selection,"party.party,vat_country",0,IT,,0
selection,"party.party,vat_country",0,LT,,0
selection,"party.party,vat_country",0,LU,,0
selection,"party.party,vat_country",0,LV,,0
selection,"party.party,vat_country",0,MT,,0
selection,"party.party,vat_country",0,NL,,0
selection,"party.party,vat_country",0,PL,,0
selection,"party.party,vat_country",0,PT,,0
selection,"party.party,vat_country",0,RO,,0
selection,"party.party,vat_country",0,RU,,0
selection,"party.party,vat_country",0,SE,,0
selection,"party.party,vat_country",0,SI,,0
selection,"party.party,vat_country",0,SK,,0
selection,"party.party,vat_country",0,SM,,0
selection,"party.party,vat_country",0,UA,,0
selection,"party.party,vat_country",0,UK,,0
view,party.address,0,Addresses,Адреса,0
view,party.address,0,Job Function,Должность,0
view,party.address,0,Notes,Комментарии,0
view,party.category,0,Categories,Категория,0
view,party.category,0,Category,Категории,0
view,party.check_vies.check,0,Parties Failed,,0
view,party.check_vies.check,0,Parties Succeed,,0
view,party.check_vies.check,0,VAT Information Exchange System Results,ИНН Система обмена информацией о результатах,0
view,party.check_vies.no_check,0,VAT Information Exchange System,ИНН Система обмена информацией,0
view,party.check_vies.no_check,0,"You must have a recent version of ""vatnumber"" installed!",,0
view,party.configuration,0,Party Configuration,Настройка контрагентов,0
view,party.contact_mechanism,0,Contact Mechanism,Контактный способ,0
view,party.contact_mechanism,0,Contact Mechanisms,Контактный способы,0
view,party.party,0,Account in Bank,Счет в банке,0
view,party.party,0,Accounting,Регистрационные данные,0
view,party.party,0,Accounts in Banks,Счета в банках,0
view,party.party,0,Addresses,Адреса,0
view,party.party,0,Categories,Категория,0
view,party.party,0,Contact Mechanisms,Контактный способы,0
view,party.party,0,Contacts,Контактные лица,0
view,party.party,0,Document,Документ,0
view,party.party,0,General,Основной,0
view,party.party,0,Legal Document,Регистрационный документ,0
view,party.party,0,Parties,Контрагенты,0
view,party.party,0,Party,Контрагент,0
view,party.party,0,VAT,ИНН,0
wizard_button,"party.check_vies,check,end",0,Ok,Да,0
wizard_button,"party.check_vies,no_check,end",0,Ok,Да,0
